PC1_loading,PC2_loading,Ensembl_ID_versioned,Ensembl_ID,gene_symbol
0.011066876244062412,0.0030168910974115106,ENSG00000117983.17,ENSG00000117983,MUC5B
0.0068915288618886265,0.00043587973013064504,ENSG00000123407.4,ENSG00000123407,HOXC12
-0.01738716543849961,0.013012183216893567,ENSG00000165863.17,ENSG00000165863,C10orf82
-0.027198990318665742,0.01590725663344541,ENSG00000186910.4,ENSG00000186910,SERPINA11
0.02040972604622458,-0.002145634329597262,ENSG00000166426.8,ENSG00000166426,CRABP1
0.02215389919856067,-0.0032670527245096627,ENSG00000205420.11,ENSG00000205420,KRT6A
0.0010553698695755706,0.017809495248551417,ENSG00000124143.10,ENSG00000124143,ARHGAP40
-0.028509746304770774,0.0159202692714658,ENSG00000235584.3,ENSG00000235584,AC008268.1
0.02028499607050424,0.009356628504397611,ENSG00000167754.13,ENSG00000167754,KLK5
0.021984022798133857,0.010460491193034787,ENSG00000157765.13,ENSG00000157765,SLC34A2
0.021237087362934462,0.011717552247952859,ENSG00000141750.7,ENSG00000141750,STAC2
-0.024642255148046254,0.020321267528068034,ENSG00000151892.15,ENSG00000151892,GFRA1
0.006600554669934219,0.014643391239066883,ENSG00000137975.8,ENSG00000137975,CLCA2
0.03135484275819825,1.1173184274648364e-05,ENSG00000102243.13,ENSG00000102243,VGLL1
-0.0010577867702366995,0.026790717923490852,ENSG00000184811.4,ENSG00000184811,TRARG1
-0.01203937743622961,0.012626115105871902,ENSG00000164287.13,ENSG00000164287,CDC20B
-0.01876324555563989,0.010665380277523192,ENSG00000078898.7,ENSG00000078898,BPIFB2
0.0169648464076005,-0.002119358035727818,ENSG00000130294.17,ENSG00000130294,KIF1A
0.018850625837218245,0.01354771047872828,ENSG00000134757.5,ENSG00000134757,DSG3
-0.01382965845472451,0.017526418490088593,ENSG00000114248.10,ENSG00000114248,LRRC31
0.02068789381273877,0.013292344799083542,ENSG00000186081.12,ENSG00000186081,KRT5
-0.0031433877504345098,0.00937629372784936,ENSG00000169900.8,ENSG00000169900,PYDC1
-0.0019302188428443555,0.016104337276810973,ENSG00000134827.8,ENSG00000134827,TCN1
0.01104797759415339,9.79375362450449e-05,ENSG00000184330.12,ENSG00000184330,S100A7A
-0.010734291637489797,0.0017631748743249425,ENSG00000253802.2,ENSG00000253802,SIRLNT
0.00704634206720035,0.015655963146982352,ENSG00000012223.13,ENSG00000012223,LTF
-0.01285123721415474,0.009998232580766443,ENSG00000086548.9,ENSG00000086548,CEACAM6
0.012977319559048073,0.01203188974691444,ENSG00000282122.1,ENSG00000282122,IGHV7-4-1
0.011497535217215086,-0.006343144622607906,ENSG00000221867.9,ENSG00000221867,MAGEA3
-0.009171520038956302,0.0050541180793971284,ENSG00000259527.2,ENSG00000259527,LINC00052
-0.025183583258106112,0.020764226658262403,ENSG00000082175.15,ENSG00000082175,PGR
-0.015490471694322553,0.0084940319894575,ENSG00000255974.8,ENSG00000255974,CYP2A6
0.012170506378507417,0.019335769606773922,ENSG00000282651.2,ENSG00000282651,IGHV5-10-1
-0.025050328239646962,0.01690830617418888,ENSG00000253768.1,ENSG00000253768,AC008663.1
-0.007025419020087838,-0.0036171550201832,ENSG00000198788.9,ENSG00000198788,MUC2
-0.014942712518669429,0.01218316590066875,ENSG00000243064.8,ENSG00000243064,ABCC13
-0.019715382707128505,0.014391524233512655,ENSG00000125999.11,ENSG00000125999,BPIFB1
-0.02268654025410881,0.021542546016896025,ENSG00000236313.1,ENSG00000236313,VN1R53P
-0.024125101746807917,0.01976611800625029,ENSG00000204434.6,ENSG00000204434,POTEKP
-0.02400403492498129,0.019328013878462738,ENSG00000170743.17,ENSG00000170743,SYT9
-0.014669219387454517,0.01616123657920342,ENSG00000237442.3,ENSG00000237442,HNRNPA1P57
0.013477749276800337,0.010523756307994878,ENSG00000281990.1,ENSG00000281990,IGHV1-69-2
-0.02522069052346688,0.01713072464154626,ENSG00000255774.2,ENSG00000255774,LINC02747
0.007751020617795794,-0.005405005688007798,ENSG00000204710.2,ENSG00000204710,SPDYC
0.02493333207694099,0.00450369957946572,ENSG00000135374.11,ENSG00000135374,ELF5
0.018485241066582992,0.0016036680649831236,ENSG00000161798.7,ENSG00000161798,AQP5
-0.01780647491438595,0.018158497101507253,ENSG00000179023.8,ENSG00000179023,KLHDC7A
0.02094988419567361,0.009449380701213974,ENSG00000169035.12,ENSG00000169035,KLK7
-0.009122098078415167,0.012080354708097202,ENSG00000226745.2,ENSG00000226745,OAZ1P1
0.0004155748295973144,0.006976452442500318,ENSG00000171564.12,ENSG00000171564,FGB
-0.014878570457607215,0.017923538736335738,ENSG00000108018.15,ENSG00000108018,SORCS1
-0.02894302998971459,0.016592480332637546,ENSG00000106541.12,ENSG00000106541,AGR2
-0.023790402154083245,0.016352621324797693,ENSG00000180777.14,ENSG00000180777,ANKRD30B
