mean_basal,mean_luminal_a,mean_difference,p_value,FDR,regulation,Ensembl_ID_versioned,Ensembl_ID,gene_symbol,minus_log10_FDR
5.183833437108994,1.5888638695582713,3.5949695675507227,5.800661556591433e-61,4.51132657487111e-59,Basal-up,ENSG00000152463.15,ENSG00000152463,OLAH,58.345695733192514
8.944728022444151,5.356593503746714,3.588134518697437,1.4411580610651242e-28,1.3311550897465683e-27,Basal-up,ENSG00000161798.7,ENSG00000161798,AQP5,26.87577134294958
5.316069271841607,1.727975718903252,3.5880935529383544,3.766347512720924e-43,8.134534060979728e-42,Basal-up,ENSG00000144119.4,ENSG00000144119,C1QL2,41.08966731802407
6.109675588026197,2.523344161375705,3.5863314266504918,3.275321472414074e-58,2.0406835642252744e-56,Basal-up,ENSG00000146090.16,ENSG00000146090,RASGEF1C,55.69022433333645
9.55311137322965,5.982058272667619,3.5710531005620307,7.595645337612019e-38,1.204380471697043e-36,Basal-up,ENSG00000167614.14,ENSG00000167614,TTYH1,35.91923629492528
5.062905958736106,1.494836385867805,3.568069572868301,1.7551806620664085e-47,5.0156569303040075e-46,Basal-up,ENSG00000163218.15,ENSG00000163218,PGLYRP4,45.29967217679682
5.57971359747779,2.0288140920901854,3.5508995053876045,8.77448775834807e-51,3.183125862119343e-49,Basal-up,ENSG00000148798.11,ENSG00000148798,INA,48.497146188855204
10.697248359971232,7.166372517748787,3.5308758422224447,6.672696659350084e-29,6.282831236556597e-28,Basal-up,ENSG00000100146.18,ENSG00000100146,SOX10,27.20184460573314
5.687452148178725,2.167803005231284,3.519649142947441,1.2258367621608417e-45,3.1318634350328823e-44,Basal-up,ENSG00000103546.18,ENSG00000103546,SLC6A2,43.50419718362071
5.09934129833362,1.5831142522258124,3.5162270461078076,3.46909519608425e-29,3.3214530412094846e-28,Basal-up,ENSG00000183072.10,ENSG00000183072,NKX2-5,27.478671883245845
10.16642292208654,6.655891898114428,3.5105310239721117,8.27146933720605e-55,3.9722013206754554e-53,Basal-up,ENSG00000163362.11,ENSG00000163362,INAVA,52.40096874853447
6.100738389993645,2.5916932574587617,3.5090451325348835,8.367331224233044e-49,2.645971156946148e-47,Basal-up,ENSG00000275874.1,ENSG00000275874,PICSAR,46.577414894255625
6.567427611804624,3.0670344730025154,3.500393138802109,2.364864430999227e-29,2.282472091191883e-28,Basal-up,ENSG00000259439.2,ENSG00000259439,LINC01833,27.64159452407426
5.941996751589309,2.442891558458767,3.4991051931305415,1.9604542170268474e-59,1.3438532792380352e-57,Basal-up,ENSG00000253348.1,ENSG00000253348,AC008514.1,56.87164814459739
9.368404778579153,5.8707849463201045,3.4976198322590486,1.2719614920829079e-59,8.827360085842457e-58,Basal-up,ENSG00000111344.11,ENSG00000111344,RASAL1,57.05416915730246
10.298762356973725,6.805717471710929,3.4930448852627967,2.4410461355684363e-53,1.0766298218980788e-51,Basal-up,ENSG00000114805.18,ENSG00000114805,PLCH1,50.9679335946983
5.231288781732427,1.757721209771902,3.4735675719605252,1.160222092363394e-39,2.0522767565182568e-38,Basal-up,ENSG00000238266.2,ENSG00000238266,LINC00707,37.687764073519254
5.558318697454724,2.0863312061149957,3.4719874913397284,5.669025674715228e-46,1.4776496159910921e-44,Basal-up,ENSG00000170523.3,ENSG00000170523,KRT83,43.83042853473797
8.145464870181568,4.676768364103989,3.4686965060775794,1.0487145525071442e-38,1.7454275968242042e-37,Basal-up,ENSG00000165186.12,ENSG00000165186,PTCHD1,36.75809816171768
3.977661585426373,0.545512569036526,3.432149016389847,3.003273266490449e-52,1.2217199016111634e-50,Basal-up,ENSG00000120289.12,ENSG00000120289,MAGEB4,49.91302835148146
9.52924266992235,6.104422208724721,3.42482046119763,3.6234750956986913e-56,1.9248634739749624e-54,Basal-up,ENSG00000101311.16,ENSG00000101311,FERMT1,53.71560006854613
11.950907541998184,8.534289930447857,3.4166176115503273,3.330488015283844e-46,8.81120428352916e-45,Basal-up,ENSG00000081277.13,ENSG00000081277,PKP1,44.05496472973234
14.178110820893071,10.78179348572022,3.396317335172851,1.263752702958454e-47,3.648664134639739e-46,Basal-up,ENSG00000104332.12,ENSG00000104332,SFRP1,45.437866112296064
9.777700003680163,6.3850502023344085,3.3926498013457547,9.822045583039725e-46,2.522873317574648e-44,Basal-up,ENSG00000198732.11,ENSG00000198732,SMOC1,43.59810455640259
11.439449554920834,8.050156657146093,3.389292897774741,1.502177505115923e-47,4.31843824798334e-46,Basal-up,ENSG00000206075.14,ENSG00000206075,SERPINB5,45.364673286266964
3.6528474071350048,0.26358202521984125,3.3892653819151635,1.6475772980465625e-64,1.775781062074623e-62,Basal-up,ENSG00000112238.12,ENSG00000112238,PRDM13,61.750610579882924
4.095768579310788,0.7250503907764512,3.370718188534337,9.884512673533052e-58,5.895531402434661e-56,Basal-up,ENSG00000137090.12,ENSG00000137090,DMRT1,55.22947704302968
4.943969565062601,1.5759170139682392,3.3680525510943617,4.357173794515511e-46,1.1437154705729048e-44,Basal-up,ENSG00000171403.10,ENSG00000171403,KRT9,43.941682004327475
11.356372436840854,7.992192910381865,3.3641795264589884,1.8436335966709667e-34,2.3990139037426554e-33,Basal-up,ENSG00000157765.13,ENSG00000157765,SLC34A2,32.619967235024575
8.84788217175506,5.492426861918368,3.3554553098366924,8.815727178533373e-39,1.4738312968799934e-37,Basal-up,ENSG00000262406.3,ENSG00000262406,MMP12,36.83155222545065
5.9226791563683445,2.57081994087597,3.3518592154923743,6.293255902671608e-48,1.8684671200846085e-46,Basal-up,ENSG00000164485.15,ENSG00000164485,IL22RA2,45.728514540143195
5.787147683578659,2.4372114923378216,3.349936191240837,2.0435223204266782e-19,1.0770262292563247e-18,Basal-up,ENSG00000071991.9,ENSG00000071991,CDH19,17.967773720023672
4.700088464998439,1.3506836495395398,3.3494048154588993,8.989997079579975e-37,1.3363401423836842e-35,Basal-up,ENSG00000131686.15,ENSG00000131686,CA6,34.87408298560399
8.254439159095956,4.90566076250032,3.3487783965956357,3.034624844037985e-64,3.1887343188762775e-62,Basal-up,ENSG00000186603.6,ENSG00000186603,HPDL,61.49638166409121
11.267486861502148,7.919704811235475,3.347782050266673,6.54658981390396e-66,8.127470020817064e-64,Basal-up,ENSG00000164626.9,ENSG00000164626,KCNK5,63.090044623778034
9.677046674548931,6.332865315011058,3.344181359537873,4.421231387115866e-38,7.097685636787539e-37,Basal-up,ENSG00000188505.5,ENSG00000188505,NCCRP1,36.148883239875985
4.858674932018611,1.5304863660421917,3.3281885659764194,7.602077437230237e-38,1.2048304288224942e-36,Basal-up,ENSG00000157851.17,ENSG00000157851,DPYSL5,35.919074072598534
5.751242183746588,2.4242571575235923,3.326985026222996,1.7769469811382652e-42,3.6995815408543264e-41,Basal-up,ENSG00000144481.17,ENSG00000144481,TRPM8,40.43184739614259
10.25852779342956,6.936263935797108,3.3222638576324517,1.2583363715212082e-34,1.6495672731087563e-33,Basal-up,ENSG00000143546.10,ENSG00000143546,S100A8,32.782629968239796
5.592548697524021,2.2726727580364146,3.319875939487606,7.642631537319005e-58,4.61587403839519e-56,Basal-up,ENSG00000124159.15,ENSG00000124159,MATN4,55.33574605106036
5.272178107822534,1.960762405029311,3.311415702793223,1.72000007576827e-43,3.830857311611456e-42,Basal-up,ENSG00000136099.13,ENSG00000136099,PCDH8,41.41670402393283
7.013978285312059,3.7085144722444463,3.305463813067613,7.390389556468927e-33,8.778379090462028e-32,Basal-up,ENSG00000138083.5,ENSG00000138083,SIX3,31.056585668268802
4.755257035213598,1.4571699692566542,3.2980870659569437,1.0373280782906957e-55,5.300493473217091e-54,Basal-up,ENSG00000253217.1,ENSG00000253217,AP001574.1,53.275683695923995
4.521478347588348,1.226968660437422,3.2945096871509265,3.9411411002638326e-18,1.9176520493662892e-17,Basal-up,ENSG00000230257.5,ENSG00000230257,NFE4,16.7172301910907
7.948392597981514,4.67920053019295,3.2691920677885644,1.452552844518263e-72,4.057464279021014e-70,Basal-up,ENSG00000154548.9,ENSG00000154548,SRSF12,69.39174529491328
5.9173595083047825,2.6505148190963506,3.266844689208432,2.1343050859734217e-37,3.2953434583983924e-36,Basal-up,ENSG00000121742.19,ENSG00000121742,GJB6,35.48209931420694
